character,direction,span01,span02,span03,span04,frame01_over_narrowest,frame01_is_stride,front_foot_01,front_foot_02,front_foot_03,front_foot_04,contact_frames_swap_leg
23_lantern_courier,N,40,40,41,41,1.0,False,L,tie,tie,tie,无法判定
23_lantern_courier,NE,49,46,57,47,1.07,False,tie,tie,tie,tie,无法判定
23_lantern_courier,E,192,119,209,66,2.91,True,side,side,side,side,n/a(侧面)
23_lantern_courier,SE,58,80,69,48,1.21,False,tie,L,tie,tie,无法判定
23_lantern_courier,S,67,60,42,40,1.68,True,R,L,tie,tie,无法判定
23_lantern_courier,SW,50,46,52,45,1.11,False,tie,tie,tie,tie,无法判定
23_lantern_courier,W,210,72,228,72,2.92,True,side,side,side,side,n/a(侧面)
23_lantern_courier,NW,54,54,54,43,1.26,False,R,tie,tie,tie,无法判定
24_lu_dongbin,N,54,32,37,48,1.69,True,tie,tie,L,tie,无法判定
24_lu_dongbin,NE,130,48,44,59,2.95,True,L,tie,tie,tie,无法判定
24_lu_dongbin,E,197,59,215,59,3.34,True,side,side,side,side,n/a(侧面)
24_lu_dongbin,SE,139,50,150,54,2.78,True,R,L,R,tie,未换腿
24_lu_dongbin,S,71,67,42,38,1.87,True,R,L,L,tie,换腿
24_lu_dongbin,SW,119,42,151,52,2.83,True,L,tie,L,tie,未换腿
24_lu_dongbin,W,181,92,198,56,3.23,True,side,side,side,side,n/a(侧面)
24_lu_dongbin,NW,114,74,58,44,2.59,True,R,L,R,tie,未换腿
25_lion_drum_guard,N,153,125,144,126,1.22,False,R,L,R,R,未换腿
25_lion_drum_guard,NE,132,72,143,125,1.83,True,L,L,L,R,未换腿
25_lion_drum_guard,E,266,92,261,90,2.96,True,side,side,side,side,n/a(侧面)
25_lion_drum_guard,SE,128,137,155,79,1.62,True,tie,tie,R,tie,无法判定
25_lion_drum_guard,S,130,102,125,111,1.27,False,R,R,L,R,换腿
25_lion_drum_guard,SW,98,77,193,75,1.31,False,L,tie,L,tie,未换腿
25_lion_drum_guard,W,255,136,264,94,2.71,True,side,side,side,side,n/a(侧面)
25_lion_drum_guard,NW,160,94,97,80,2.0,True,R,tie,R,tie,未换腿
26_osmanthus_healer,N,102,94,95,95,1.09,False,L,tie,R,R,换腿
26_osmanthus_healer,NE,190,62,157,70,3.06,True,L,tie,L,tie,未换腿
26_osmanthus_healer,E,214,103,225,70,3.06,True,side,side,side,side,n/a(侧面)
26_osmanthus_healer,SE,228,76,259,75,3.04,True,R,tie,tie,tie,无法判定
26_osmanthus_healer,S,101,81,101,68,1.49,False,R,L,R,R,未换腿
26_osmanthus_healer,SW,117,56,110,53,2.21,True,L,tie,L,tie,未换腿
26_osmanthus_healer,W,195,108,202,64,3.05,True,side,side,side,side,n/a(侧面)
26_osmanthus_healer,NW,168,86,159,61,2.75,True,R,tie,R,tie,未换腿
27_ink_kite_ranger,N,61,69,55,64,1.11,False,tie,L,tie,R,无法判定
27_ink_kite_ranger,NE,102,84,90,39,2.62,True,L,R,R,L,换腿
27_ink_kite_ranger,E,183,56,202,55,3.33,True,side,side,side,side,n/a(侧面)
27_ink_kite_ranger,SE,136,47,38,41,3.58,True,R,tie,tie,tie,无法判定
27_ink_kite_ranger,S,63,32,67,32,1.97,True,R,tie,L,tie,换腿
27_ink_kite_ranger,SW,59,94,161,114,1.0,False,L,L,L,L,未换腿
27_ink_kite_ranger,W,203,73,219,59,3.44,True,side,side,side,side,n/a(侧面)
27_ink_kite_ranger,NW,103,54,98,62,1.91,True,R,L,L,tie,换腿
28_moon_rabbit_artificer,N,79,81,74,38,2.08,True,R,L,L,R,换腿
28_moon_rabbit_artificer,NE,168,54,153,56,3.11,True,L,L,L,R,未换腿
28_moon_rabbit_artificer,E,218,60,224,62,3.63,True,side,side,side,side,n/a(侧面)
28_moon_rabbit_artificer,SE,64,58,171,62,1.1,False,R,tie,R,tie,未换腿
28_moon_rabbit_artificer,S,44,39,43,40,1.13,False,tie,R,tie,tie,无法判定
28_moon_rabbit_artificer,SW,151,54,68,58,2.8,True,L,L,L,tie,未换腿
28_moon_rabbit_artificer,W,194,70,222,64,3.03,True,side,side,side,side,n/a(侧面)
28_moon_rabbit_artificer,NW,127,72,63,59,2.15,True,R,R,R,L,未换腿
29_he_xiangu,N,37,34,58,33,1.12,False,tie,tie,tie,tie,无法判定
29_he_xiangu,NE,139,51,159,53,2.73,True,L,tie,L,tie,未换腿
29_he_xiangu,E,169,57,184,58,2.96,True,side,side,side,side,n/a(侧面)
29_he_xiangu,SE,120,53,60,56,2.26,True,R,tie,R,tie,未换腿
29_he_xiangu,S,45,36,41,39,1.25,False,tie,tie,tie,tie,无法判定
29_he_xiangu,SW,106,51,62,52,2.08,True,L,tie,L,tie,未换腿
29_he_xiangu,W,183,54,205,61,3.39,True,side,side,side,side,n/a(侧面)
29_he_xiangu,NW,155,55,155,56,2.82,True,R,R,R,tie,未换腿
30_han_xiangzi,N,63,31,63,33,2.03,True,R,L,L,R,换腿
30_han_xiangzi,NE,145,55,156,56,2.64,True,L,L,L,L,未换腿
30_han_xiangzi,E,169,51,174,52,3.31,True,side,side,side,side,n/a(侧面)
30_han_xiangzi,SE,122,92,131,87,1.4,False,R,tie,R,L,未换腿
30_han_xiangzi,S,65,33,62,68,1.97,True,R,tie,R,L,未换腿
30_han_xiangzi,SW,177,118,184,100,1.77,True,L,R,L,R,未换腿
30_han_xiangzi,W,181,98,182,53,3.42,True,side,side,side,side,n/a(侧面)
30_han_xiangzi,NW,166,102,150,50,3.32,True,R,R,R,R,未换腿
